Label;Location;Site;Plot_replicate;Meshbag_replicate;Treatment;ITEX;NPKD;Pot+sand_wet_(g);Pot+sand_dry_(g);wet_(g);proportion_water_in_sample_(%);sample_weight_wet_(g);sample_weight_dry_(g);Hyphae_uns;Hyphae_sept;Total_hyphae;Count_strikes;Hyphal_length_uns;Hyphal_length_sept;Total_hyphal_length;lab_analyses;Meshbag_collected;Extra
Bl-de-b3P15;Badlauchstaedt;Bad1;1;A;Drought;NO;YES;47,41;42,66;4,75;0,1;11,39;10,25;86;30;116;25;333,92;116,48;450,4;27/aug;1/aug;
Bl-de-b3P15;Badlauchstaedt;Bad1;1;B;Drought;NO;YES;47,41;42,66;4,75;0,1;11,07;9,96;102;6;108;25;407,49;23,97;431,46;27/aug;1/aug;
Bl-de-b4p20;Badlauchstaedt;Bad1;1;B;Fertilisationxdrought;NO;YES;47,11;46,18;0,93;0,02;10,41;10,2;0;0;0;50;0;0;0;13/aug;1/aug;
Bl-de-b4p20;Badlauchstaedt;Bad1;1;A;Fertilisationxdrought;NO;YES;47,11;46,18;0,93;0,02;11,08;10,86;26;0;26;50;47,63;0;47,63;13/aug;1/aug;
Bl-de-b5p21;Badlauchstaedt;Bad1;1;B;Drought;NO;YES;51;49,18;1,82;0,04;11,46;11,05;244;158;402;25;878,62;568,94;1447,56;22/aug;1/aug;
Bl-de-b5p21;Badlauchstaedt;Bad1;1;A;Drought;NO;YES;51;49,18;1,82;0,04;10,44;10,07;282;19;301;25;1114,66;75,1;1189,76;22/aug;1/aug;
Bl-de-b5p22;Badlauchstaedt;Bad1;1;A;Fertilisationxdrought;NO;YES;50,2;48,24;1,96;0,04;10,96;10,53;19;4;23;50;35,89;7,56;43,45;13/aug;1/aug;lable meshbag komt niet overeen met de plot kaart sleutel. Plot kaartsleutel is correct! Hierdoor treatment =/= treatment op de lable
Bl-de-b5p22;Badlauchstaedt;Bad1;1;B;Fertilisationxdrought;NO;YES;50,2;48,24;1,96;0,04;10,4;9,99;32;0;32;50;63,71;0;63,71;13/aug;1/aug;
Bl-de-b5P23;Badlauchstaedt;Bad1;1;B;Zinfrastructurecontrol;NO;NO;54,56;49,96;4,6;0,08;11,09;10,15;58;23;81;25;227,28;90,13;317,41;27/aug;1/aug;
Bl-de-b5P23;Badlauchstaedt;Bad1;1;A;Zinfrastructurecontrol;NO;NO;54,56;49,96;4,6;0,08;11,34;10,38;70;79;149;25;268,26;302,75;571;27/aug;1/aug;
Bl-de-b5p25;Badlauchstaedt;Bad1;1;B;Control;NO;YES;45,97;44,77;1,2;0,03;11,2;10,91;238;5;243;50;434,14;9,12;443,26;12/aug;1/aug;
Bl-de-b5p25;Badlauchstaedt;Bad1;1;A;Control;NO;YES;45,97;44,77;1,2;0,03;10,62;10,34;1025;43;1068;50;1971,83;82,72;2054,55;12/aug;1/aug;
Fi-no-cont-10D;Finse;Fins1;1;B;Control;YES;NO;51,47;48,46;3,01;0,06;10,27;9,67;298;4;302;50;613,2;8,23;621,43;20/aug;3/aug;
