"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV_154" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Penicillium" "s__melinii"
"ASV_155" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Cordycipitaceae" "g__Beauveria" "s__varroae"
"ASV_156" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Hydnaceae" "g__Sistotrema" NA
"ASV_157" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_158" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Inocybaceae" "g__Inocybe" "s__cincinnata"
"ASV_159" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pyronemataceae" "g__Trichophaea" "s__dougoudii"
"ASV_160" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Linnemannia" "s__zychae"
"ASV_161" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" NA
"ASV_162" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Paraphaeosphaeria" "s__sporulosa"
"ASV_163" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Trechisporales" "f__Hydnodontaceae" "g__Trechispora" NA
"ASV_164" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Typhulaceae" "g__Typhula" "s__micans"
"ASV_165" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Coniochaetales" "f__Coniochaetaceae" "g__Lecythophora" NA
"ASV_166" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Linnemannia" "s__gamsii"
"ASV_167" "k__Fungi" "p__Basidiomycota" "c__Ustilaginomycetes" "o__Ustilaginales" "f__Ustilaginaceae" "g__Ustilago" "s__nunavutica"
"ASV_168" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Phallales" "f__Phallaceae" "g__Phallus" "s__impudicus"
"ASV_169" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Alternaria" "s__alternata"
"ASV_170" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Paraboeremia" "s__selaginellae"
"ASV_171" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Tomentella" "s__lapida"
"ASV_172" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Vishniacozyma" "s__tephrensis"
"ASV_173" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Crocicreas" NA
"ASV_174" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Discinellaceae" "g__Gyoerffyella" NA
"ASV_175" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Sebacinales" "f__Serendipitaceae" "g__Serendipita" NA
"ASV_176" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Leptosphaeriaceae" "g__Paraleptosphaeria" NA
"ASV_177" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Phaeotremellaceae" "g__Phaeotremella" "s__ovata"
"ASV_178" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_179" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Hydnangiaceae" "g__Laccaria" NA
"ASV_180" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Discinellaceae" "g__Gyoerffyella" NA
"ASV_181" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Pezizellaceae" "g__Calycina" "s__languida"
