GENUS	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
Septochytrium	litter_saprotroph	algal_decomposer	NA	NA	NA	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Alogomyces	pollen_saprotroph	dung_saprotroph	NA	NA	NA	pollen,dung	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Algomyces	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Clydaea	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Cyclopsomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Lobulomyces	pollen_saprotroph	vertebrate-associated	NA	NA	NA	pollen,animal_material	keratinolytic	vertebrate-associated	snakes	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Maunachytrium	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Algochytrops	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Gromochytrium	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Mesochytrium	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Arkaya	soil_saprotroph	animal_decomposer	NA	NA	NA	soil,animal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Karlingiomyces	soil_saprotroph	animal_decomposer	NA	NA	NA	soil,animal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Lacustromyces	animal-associated	animal_decomposer	NA	no_endophytic_capacity	NA	animal_material	chitinolytic	animal-associated	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Neokarlingia	soil_saprotroph	animal_decomposer	NA	NA	NA	soil,animal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Polychytrium	animal-associated	animal_decomposer	NA	NA	NA	animal_material	NA	animal-associated	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Arizonaphlyctis	soil_saprotroph	litter_saprotroph	NA	NA	NA	leaf_fruit_seed,soil	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Borealophlyctis	soil_saprotroph	litter_saprotroph	NA	NA	NA	leaf_fruit_seed,soil	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Rhizophlyctis	litter_saprotroph	algal_parasite	NA	NA	algal_parasite	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Sonoraphlyctis	soil_saprotroph	litter_saprotroph	NA	NA	NA	leaf_fruit_seed,soil	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Alphamyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Betamyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Gammamyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Angulomyces	pollen_saprotroph	plant_pathogen	NA	NA	leaf_fruit_seed_pathogen	pollen,leaf_fruit_seed	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Aquamyces	pollen_saprotroph	plant_pathogen	NA	NA	leaf_fruit_seed_pathogen	pollen,leaf_fruit_seed	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Batrachochytrium	animal_parasite	animal_decomposer	NA	NA	NA	animal_material	NA	animal_parasite	NA	zoosporic_only	zoosporangium	closed	NA	NA	NA	NA
Collimyces	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Coralloidiomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Dinomyces	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Globomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Urceomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Gorgonomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Halomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Paludomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Paranamyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Ulkenomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Kappamyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Operculomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Pateramyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Protrudomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Rhizophydium	algal_parasite	litter_saprotroph	hypervariable,_parasite_on_algae,protists,and_plants;_Saprobic_on_plant_and_animal_matter	NA	algal_parasite	leaf_fruit_seed,algal_material,fungal_material,protist_material	keratinolytic	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Homolaphlyctis	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Staurastromyces	algal_parasite	pollen_saprotroph	NA	no_endophytic_capacity	algal_parasite	algal_material,pollen	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Boothiomyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Terramyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Uebelmesseromyces	pollen_saprotroph	NA	NA	NA	NA	pollen	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
